data_num,MQ7,MQ2,MQ4,MQ5,MQ5,MQ3,Label
841,145,67,98,86,87,124,3
842,145,67,97,87,87,125,3
843,145,66,97,86,87,124,3
844,144,67,97,87,87,125,3
845,145,67,96,86,86,125,3
846,146,66,98,87,88,123,3
847,145,67,97,88,87,125,3
848,145,67,98,86,87,125,3
849,145,67,97,86,87,125,3
850,144,67,97,86,87,125,3
851,146,67,99,87,87,123,3
852,145,67,97,86,86,125,3
853,145,67,97,87,87,126,3
854,146,67,97,86,87,125,3
855,144,67,97,86,85,125,3
856,145,68,97,86,87,124,3
857,145,67,97,87,86,127,3
858,145,67,97,86,87,124,3
859,147,67,98,87,85,125,3
860,145,69,97,87,86,125,3
861,145,67,99,86,87,123,3
